2022-10-14 16:30:10.4097 
2022-10-14 16:30:10.4097 ********** ParsePacket 5014@10.102.7.90/6C5E3B87C5C6 is now starting ... **********
2022-10-14 16:30:21.8620 ### 開始錄音(建立 CallRtp) => ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21
2022-10-14 16:30:21.8759 pktIndex=1, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=0, RecvRtpSeq=3725, System.Func`1[System.String]
2022-10-14 16:30:21.8909 pktIndex=2, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=0, RecvRtpSeq=3725, System.Func`1[System.String]
2022-10-14 16:30:21.9059 pktIndex=3, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=0, RecvRtpSeq=3726, System.Func`1[System.String]
2022-10-14 16:30:21.9209 pktIndex=4, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=0, RecvRtpSeq=3726, System.Func`1[System.String]
2022-10-14 16:30:21.9209 pktIndex=5, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=0, RecvRtpSeq=3727, System.Func`1[System.String]
2022-10-14 16:30:21.9510 pktIndex=6, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=0, RecvRtpSeq=3727, System.Func`1[System.String]
2022-10-14 16:30:21.9659 pktIndex=7, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=0, RecvRtpSeq=3728, System.Func`1[System.String]
2022-10-14 16:30:21.9810 pktIndex=8, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=0, RecvRtpSeq=3728, System.Func`1[System.String]
2022-10-14 16:30:21.9959 pktIndex=9, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=0, RecvRtpSeq=3729, System.Func`1[System.String]
2022-10-14 16:30:22.0109 pktIndex=10, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=0, RecvRtpSeq=3729, System.Func`1[System.String]
2022-10-14 16:30:22.0260 pktIndex=11, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58196, RecvRtpSeq=3729, System.Func`1[System.String]
2022-10-14 16:30:22.0409 pktIndex=12, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58196, RecvRtpSeq=3729, System.Func`1[System.String]
2022-10-14 16:30:22.0569 pktIndex=13, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58196, RecvRtpSeq=3730, System.Func`1[System.String]
2022-10-14 16:30:22.0719 pktIndex=14, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58196, RecvRtpSeq=3730, System.Func`1[System.String]
2022-10-14 16:30:22.0869 pktIndex=15, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58197, RecvRtpSeq=3730, System.Func`1[System.String]
