2022-10-14 16:30:21.8620 RTP: time=[08:30:21:860] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3725, Time=1532287818
2022-10-14 16:30:21.8759 RTP: time=[08:30:21:861] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3725, Time=1532287818
2022-10-14 16:30:21.8909 RTP: time=[08:30:21:875] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3726, Time=1532287978
2022-10-14 16:30:21.8909 RTP: time=[08:30:21:876] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3726, Time=1532287978
2022-10-14 16:30:21.9059 RTP: time=[08:30:21:905] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3727, Time=1532288138
2022-10-14 16:30:21.9209 RTP: time=[08:30:21:906] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3727, Time=1532288138
2022-10-14 16:30:21.9209 RTP: time=[08:30:21:920] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3728, Time=1532288298
2022-10-14 16:30:21.9209 RTP: time=[08:30:21:921] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3728, Time=1532288298
2022-10-14 16:30:21.9510 RTP: time=[08:30:21:941] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3729, Time=1532288458
2022-10-14 16:30:21.9510 RTP: time=[08:30:21:941] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3729, Time=1532288458
2022-10-14 16:30:21.9659 RTP: time=[08:30:21:950] ip=[10.102.7.90]:23874 => [10.102.7.25]:8564, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0xDD69C46B, Seq=58196, Time=1829409613
