2022-10-14 17:02:47.6096 ### 開始錄音(建立 CallRtp) => ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47
2022-10-14 17:02:47.6397 pktIndex=1, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=0, RecvRtpSeq=4575, System.Func`1[System.String]
2022-10-14 17:02:47.6397 pktIndex=2, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=0, RecvRtpSeq=4575, System.Func`1[System.String]
2022-10-14 17:02:47.6697 pktIndex=3, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=0, RecvRtpSeq=4576, System.Func`1[System.String]
2022-10-14 17:02:47.6847 pktIndex=4, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=0, RecvRtpSeq=4576, System.Func`1[System.String]
2022-10-14 17:02:47.6884 pktIndex=5, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=0, RecvRtpSeq=4577, System.Func`1[System.String]
2022-10-14 17:02:47.6884 pktIndex=6, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=0, RecvRtpSeq=4577, System.Func`1[System.String]
2022-10-14 17:02:47.6884 pktIndex=7, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=0, RecvRtpSeq=4578, System.Func`1[System.String]
2022-10-14 17:02:47.7147 pktIndex=8, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=0, RecvRtpSeq=4578, System.Func`1[System.String]
2022-10-14 17:02:47.7296 pktIndex=9, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=0, RecvRtpSeq=4579, System.Func`1[System.String]
2022-10-14 17:02:47.7447 pktIndex=10, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=0, RecvRtpSeq=4579, System.Func`1[System.String]
2022-10-14 17:02:47.7597 pktIndex=11, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=0, RecvRtpSeq=4580, System.Func`1[System.String]
2022-10-14 17:02:47.7747 pktIndex=12, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=0, RecvRtpSeq=4580, System.Func`1[System.String]
