2022-10-14 17:02:47.6247 RTP: time=[09:02:47:609] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4575, Time=2744464537
2022-10-14 17:02:47.6247 RTP: time=[09:02:47:609] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4575, Time=2744464537
2022-10-14 17:02:47.6397 RTP: time=[09:02:47:639] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4576, Time=2744464697
2022-10-14 17:02:47.6397 RTP: time=[09:02:47:639] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4576, Time=2744464697
2022-10-14 17:02:47.6697 RTP: time=[09:02:47:655] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4577, Time=2744464857
2022-10-14 17:02:47.6697 RTP: time=[09:02:47:655] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4577, Time=2744464857
2022-10-14 17:02:47.6884 RTP: time=[09:02:47:684] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4578, Time=2744465017
2022-10-14 17:02:47.6884 RTP: time=[09:02:47:684] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4578, Time=2744465017
2022-10-14 17:02:47.6884 RTP: time=[09:02:47:699] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4579, Time=2744465177
2022-10-14 17:02:47.7147 RTP: time=[09:02:47:699] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4579, Time=2744465177
2022-10-14 17:02:47.7296 RTP: time=[09:02:47:714] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4580, Time=2744465337
2022-10-14 17:02:47.7296 RTP: time=[09:02:47:714] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4580, Time=2744465337
2022-10-14 17:02:47.7447 RTP: time=[09:02:47:729] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4581, Time=2744465497
2022-10-14 17:02:47.7447 RTP: time=[09:02:47:730] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4581, Time=2744465497
2022-10-14 17:02:47.7597 RTP: time=[09:02:47:746] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7284, Time=1695327725
2022-10-14 17:02:47.7597 RTP: time=[09:02:47:746] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7284, Time=1695327725
2022-10-14 17:02:47.7747 RTP: time=[09:02:47:761] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4582, Time=2744465657
2022-10-14 17:02:47.7747 RTP: time=[09:02:47:761] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4582, Time=2744465657
2022-10-14 17:02:47.7747 RTP: time=[09:02:47:767] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7285, Time=1695327885
2022-10-14 17:02:47.7747 RTP: time=[09:02:47:767] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7285, Time=1695327885
2022-10-14 17:02:47.7747 RTP: time=[09:02:47:770] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4583, Time=2744465817
2022-10-14 17:02:47.7747 RTP: time=[09:02:47:771] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4583, Time=2744465817
2022-10-14 17:02:47.8047 RTP: time=[09:02:47:789] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7286, Time=1695328045
2022-10-14 17:02:47.8047 RTP: time=[09:02:47:790] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7286, Time=1695328045
2022-10-14 17:02:47.8047 RTP: time=[09:02:47:793] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4584, Time=2744465977
2022-10-14 17:02:47.8047 RTP: time=[09:02:47:793] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4584, Time=2744465977
