2022-10-18 10:46:02.1993 ### 開始錄音(建立 CallRtp) => ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, startTalk=2022/10/18 10:46:02
2022-10-18 10:46:02.3207 pktIndex=   1, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50460, PT=0(Mark), SSRC=0xC6E984AB, Seq=50460, Time=3845301621
2022-10-18 10:46:02.3357 pktIndex=   2, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50460, PT=0(Mark), SSRC=0xC6E984AB, Seq=50460, Time=3845301621
2022-10-18 10:46:02.3507 pktIndex=   3, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50461, PT=0, SSRC=0xC6E984AB, Seq=50461, Time=3845301781
2022-10-18 10:46:02.3657 pktIndex=   4, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50461, PT=0, SSRC=0xC6E984AB, Seq=50461, Time=3845301781
2022-10-18 10:46:02.3807 pktIndex=   5, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28024, PT=0(Mark), SSRC=0x84A7D718, Seq=28024, Time=1443585185
2022-10-18 10:46:02.3957 pktIndex=   6, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28024, PT=0(Mark), SSRC=0x84A7D718, Seq=28024, Time=1443585185
2022-10-18 10:46:02.4107 pktIndex=   7, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50462, PT=0, SSRC=0xC6E984AB, Seq=50462, Time=3845301941
2022-10-18 10:46:02.4257 pktIndex=   8, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50462, PT=0, SSRC=0xC6E984AB, Seq=50462, Time=3845301941
2022-10-18 10:46:02.4417 pktIndex=   9, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28025, PT=0, SSRC=0x84A7D718, Seq=28025, Time=1443585345
2022-10-18 10:46:02.4567 pktIndex=  10, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28025, PT=0, SSRC=0x84A7D718, Seq=28025, Time=1443585345
2022-10-18 10:46:02.4717 pktIndex=  11, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50463, PT=0, SSRC=0xC6E984AB, Seq=50463, Time=3845302101
2022-10-18 10:46:02.4876 pktIndex=  12, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50463, PT=0, SSRC=0xC6E984AB, Seq=50463, Time=3845302101
2022-10-18 10:46:02.5027 pktIndex=  13, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28026, PT=0, SSRC=0x84A7D718, Seq=28026, Time=1443585505
2022-10-18 10:46:02.5187 pktIndex=  14, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28026, PT=0, SSRC=0x84A7D718, Seq=28026, Time=1443585505
2022-10-18 10:46:02.5337 pktIndex=  15, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50464, PT=0, SSRC=0xC6E984AB, Seq=50464, Time=3845302261
2022-10-18 10:46:02.5487 pktIndex=  16, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50464, PT=0, SSRC=0xC6E984AB, Seq=50464, Time=3845302261
2022-10-18 10:46:02.5637 pktIndex=  17, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28027, PT=0, SSRC=0x84A7D718, Seq=28027, Time=1443585665
2022-10-18 10:46:02.5787 pktIndex=  18, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28027, PT=0, SSRC=0x84A7D718, Seq=28027, Time=1443585665
2022-10-18 10:46:02.5937 pktIndex=  19, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50465, PT=0, SSRC=0xC6E984AB, Seq=50465, Time=3845302421
2022-10-18 10:46:02.6087 pktIndex=  20, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50465, PT=0, SSRC=0xC6E984AB, Seq=50465, Time=3845302421
2022-10-18 10:46:02.6237 pktIndex=  21, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28028, PT=0, SSRC=0x84A7D718, Seq=28028, Time=1443585825
2022-10-18 10:46:02.6387 pktIndex=  22, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28028, PT=0, SSRC=0x84A7D718, Seq=28028, Time=1443585825
2022-10-18 10:46:02.6547 pktIndex=  23, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50466, PT=0, SSRC=0xC6E984AB, Seq=50466, Time=3845302581
2022-10-18 10:46:02.6697 pktIndex=  24, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50466, PT=0, SSRC=0xC6E984AB, Seq=50466, Time=3845302581
2022-10-18 10:46:02.6847 pktIndex=  25, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28029, PT=0, SSRC=0x84A7D718, Seq=28029, Time=1443585985
2022-10-18 10:46:02.6997 pktIndex=  26, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28029, PT=0, SSRC=0x84A7D718, Seq=28029, Time=1443585985
2022-10-18 10:46:02.7147 pktIndex=  27, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50467, PT=0, SSRC=0xC6E984AB, Seq=50467, Time=3845302741
2022-10-18 10:46:02.7307 pktIndex=  28, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50467, PT=0, SSRC=0xC6E984AB, Seq=50467, Time=3845302741
2022-10-18 10:46:02.7467 pktIndex=  29, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28030, PT=0, SSRC=0x84A7D718, Seq=28030, Time=1443586145
2022-10-18 10:46:02.7627 pktIndex=  30, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28030, PT=0, SSRC=0x84A7D718, Seq=28030, Time=1443586145
2022-10-18 10:46:02.7777 pktIndex=  31, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50468, PT=0, SSRC=0xC6E984AB, Seq=50468, Time=3845302901
2022-10-18 10:46:02.7927 pktIndex=  32, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50468, PT=0, SSRC=0xC6E984AB, Seq=50468, Time=3845302901
2022-10-18 10:46:02.8077 pktIndex=  33, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28031, PT=0, SSRC=0x84A7D718, Seq=28031, Time=1443586305
2022-10-18 10:46:02.8077 pktIndex=  34, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28031, PT=0, SSRC=0x84A7D718, Seq=28031, Time=1443586305
2022-10-18 10:46:02.8377 pktIndex=  35, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50469, PT=0, SSRC=0xC6E984AB, Seq=50469, Time=3845303061
2022-10-18 10:46:02.8527 pktIndex=  36, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50469, PT=0, SSRC=0xC6E984AB, Seq=50469, Time=3845303061
2022-10-18 10:46:02.8677 pktIndex=  37, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28032, PT=0, SSRC=0x84A7D718, Seq=28032, Time=1443586465
2022-10-18 10:46:02.8827 pktIndex=  38, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28032, PT=0, SSRC=0x84A7D718, Seq=28032, Time=1443586465
2022-10-18 10:46:02.8977 pktIndex=  39, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50470, PT=0, SSRC=0xC6E984AB, Seq=50470, Time=3845303221
2022-10-18 10:46:02.9137 pktIndex=  40, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50470, PT=0, SSRC=0xC6E984AB, Seq=50470, Time=3845303221
2022-10-18 10:46:02.9287 pktIndex=  41, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28033, PT=0, SSRC=0x84A7D718, Seq=28033, Time=1443586625
2022-10-18 10:46:02.9438 pktIndex=  42, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28033, PT=0, SSRC=0x84A7D718, Seq=28033, Time=1443586625
2022-10-18 10:46:02.9588 pktIndex=  43, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50471, PT=0, SSRC=0xC6E984AB, Seq=50471, Time=3845303381
2022-10-18 10:46:02.9737 pktIndex=  44, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50471, PT=0, SSRC=0xC6E984AB, Seq=50471, Time=3845303381
2022-10-18 10:46:02.9887 pktIndex=  45, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28034, PT=0, SSRC=0x84A7D718, Seq=28034, Time=1443586785
2022-10-18 10:46:03.0037 pktIndex=  46, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28034, PT=0, SSRC=0x84A7D718, Seq=28034, Time=1443586785
2022-10-18 10:46:03.0187 pktIndex=  47, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50472, PT=0, SSRC=0xC6E984AB, Seq=50472, Time=3845303541
