2022-10-18 10:46:02.3047 RTP: time=[02:46:02.289792] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0(Mark), SSRC=0xC6E984AB, Seq=50460, Time=3845301621
2022-10-18 10:46:02.3047 RTP: time=[02:46:02.289980] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0(Mark), SSRC=0xC6E984AB, Seq=50460, Time=3845301621
2022-10-18 10:46:02.3207 RTP: time=[02:46:02.306615] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50461, Time=3845301781
2022-10-18 10:46:02.3207 RTP: time=[02:46:02.306667] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50461, Time=3845301781
2022-10-18 10:46:02.3357 RTP: time=[02:46:02.320744] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0(Mark), SSRC=0x84A7D718, Seq=28024, Time=1443585185
2022-10-18 10:46:02.3357 RTP: time=[02:46:02.320946] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0(Mark), SSRC=0x84A7D718, Seq=28024, Time=1443585185
2022-10-18 10:46:02.3357 RTP: time=[02:46:02.321001] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50462, Time=3845301941
2022-10-18 10:46:02.3357 RTP: time=[02:46:02.321058] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50462, Time=3845301941
2022-10-18 10:46:02.3507 RTP: time=[02:46:02.335830] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28025, Time=1443585345
2022-10-18 10:46:02.3507 RTP: time=[02:46:02.335933] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28025, Time=1443585345
2022-10-18 10:46:02.3507 RTP: time=[02:46:02.350737] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50463, Time=3845302101
2022-10-18 10:46:02.3657 RTP: time=[02:46:02.351010] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50463, Time=3845302101
2022-10-18 10:46:02.3657 RTP: time=[02:46:02.365737] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28026, Time=1443585505
2022-10-18 10:46:02.3807 RTP: time=[02:46:02.365886] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28026, Time=1443585505
2022-10-18 10:46:02.3807 RTP: time=[02:46:02.365963] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50464, Time=3845302261
2022-10-18 10:46:02.3807 RTP: time=[02:46:02.366017] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50464, Time=3845302261
2022-10-18 10:46:02.3957 RTP: time=[02:46:02.380728] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28027, Time=1443585665
2022-10-18 10:46:02.3957 RTP: time=[02:46:02.380854] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28027, Time=1443585665
2022-10-18 10:46:02.3957 RTP: time=[02:46:02.380999] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50465, Time=3845302421
2022-10-18 10:46:02.3957 RTP: time=[02:46:02.381087] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50465, Time=3845302421
2022-10-18 10:46:02.4107 RTP: time=[02:46:02.395805] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28028, Time=1443585825
2022-10-18 10:46:02.4107 RTP: time=[02:46:02.395911] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28028, Time=1443585825
2022-10-18 10:46:02.4257 RTP: time=[02:46:02.411288] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50466, Time=3845302581
2022-10-18 10:46:02.4257 RTP: time=[02:46:02.411470] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50466, Time=3845302581
2022-10-18 10:46:02.4257 RTP: time=[02:46:02.420916] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28029, Time=1443585985
2022-10-18 10:46:02.4257 RTP: time=[02:46:02.421106] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28029, Time=1443585985
2022-10-18 10:46:02.4257 RTP: time=[02:46:02.421294] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50467, Time=3845302741
2022-10-18 10:46:02.4257 RTP: time=[02:46:02.421482] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50467, Time=3845302741
2022-10-18 10:46:02.4567 RTP: time=[02:46:02.441749] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28030, Time=1443586145
2022-10-18 10:46:02.4567 RTP: time=[02:46:02.441872] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28030, Time=1443586145
2022-10-18 10:46:02.4567 RTP: time=[02:46:02.441938] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50468, Time=3845302901
2022-10-18 10:46:02.4567 RTP: time=[02:46:02.441992] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50468, Time=3845302901
2022-10-18 10:46:02.4717 RTP: time=[02:46:02.456780] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28031, Time=1443586305
